dataset,group,scenario,cq,se_A_flag,se_B_flag,et_A_flag,et_B_flag,source_deviation,framing_bias,notes,gold_source_deviation,gold_framing_bias
IntelligentBathrooms,NeoNGPT_GPT4o,"I like going to the movies when it is raining, and I especially like to see action movies.",Is it currently raining?,ok,ABOVE,ok,ok,,,,,
Polifonia,NeoNGPT_GPT4o,"Anna wants to experience live music with the aid of haptic technology. Anna, who became hearing impaired in later life, attends a concert by The Blockheads at the Stables music venue with a friend Ben who is deaf from birth, and her hearing friend Caroline. In order to enhance their experience of the concert, they decide to use the haptic bracelets offered by the venue. Anna is a big fan of the bass player Norman Watt Roy, whereas her friend is interested in the drums played by John Roberts. For tonight’s performance, the Stables are offering a live automatic haptic transcription of the bass part. The Stables have also hired a musical interpreter for the hearing impaired who will be communicating the overall performance using an electronic drum kit from which a haptic feed is available. As a third option, a chest-worn transducer is available that takes the audio feed and turns the wearer’s chest cavity into a bass woofer. Anna used the bass transcription. Ben opted for the live interpretation. During ‘Hit me with your rhythm stick’ Anna grabs the hand of her hearing friend Caroline in excitement and puts it on her wrist to feel the bass rhythm. Anna and Ben sign to each other during the first two songs, and decide to swap feeds for the third.

When they hand the equipment back in at the end of the gig, the Stables staff point out that there is a summer workshop being run for hearing impared beginner drummers using a full drum kit and bracelets on all four limbs.",14. How can the ontology be extended to include new developments in haptic technology?,BELOW,ok,ok,ok,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",What measures are in place to protect user data and ensure secure communication between devices?,ok,ok,BELOW,BELOW,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get to select the time of the show, the seat I want at the movie theatre. Finally, I pay by credit card.",16. What queries can a user make regarding ticket availability for a specific movie event?,ok,ABOVE,ok,ok,,,,,
CVN,NeoNGPT_GPT4o,"A manufacturer of a product needs to understand the composition and origin of the materials, as well as their production processes, to mitigate risks in the supply chain, analyse and improve the supply chain, ensure compliance with regulations etc. Although some stakeholders in the supply chain may be unknown, data origin and proof of validity is important.",What are the relationships between different materials in terms of composition and usage?,BELOW,BELOW,ok,ok,,,,,
Polifonia,NeoNGPT_GPT4o,"Anna wants to experience live music with the aid of haptic technology. Anna, who became hearing impaired in later life, attends a concert by The Blockheads at the Stables music venue with a friend Ben who is deaf from birth, and her hearing friend Caroline. In order to enhance their experience of the concert, they decide to use the haptic bracelets offered by the venue. Anna is a big fan of the bass player Norman Watt Roy, whereas her friend is interested in the drums played by John Roberts. For tonight’s performance, the Stables are offering a live automatic haptic transcription of the bass part. The Stables have also hired a musical interpreter for the hearing impaired who will be communicating the overall performance using an electronic drum kit from which a haptic feed is available. As a third option, a chest-worn transducer is available that takes the audio feed and turns the wearer’s chest cavity into a bass woofer. Anna used the bass transcription. Ben opted for the live interpretation. During ‘Hit me with your rhythm stick’ Anna grabs the hand of her hearing friend Caroline in excitement and puts it on her wrist to feel the bass rhythm. Anna and Ben sign to each other during the first two songs, and decide to swap feeds for the third.

When they hand the equipment back in at the end of the gig, the Stables staff point out that there is a summer workshop being run for hearing impared beginner drummers using a full drum kit and bracelets on all four limbs.",18. What are the scalability considerations for accommodating new devices and performance types in the ontology?,BELOW,ok,ok,ok,,,,,
CVN,NeoNGPT_GPT4o,For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work.,"How are competencies hierarchically structured (e.g., basic, intermediate, advanced)?",ok,ok,ABOVE,ABOVE,,,,,
Polifonia,NeoNGPT_GPT4o,"Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers, their overlap and intersections, gathering trends in time and space, and making emerge patterns of knowledge transmission.Ortenz is supervising a PhD student. They want to explore a database of prosopographic information of personalities relevant to the musical cultural heritage, focusing primarily on musicians' career but also involving relevant people in sectors such as art, politics, and industry. They are interested in the events and facts nad how they are linked to the sources (biographies, letters, memoirs, encyclopedia). She wants the system to allow her to make annotations on the content, rate the quality of the sources and the accuracy of the statements, and curate collections of facts/statements/events as material for scholarship. 
    Wikipedia
    DBpedia
    Wikidata",How can the ontology be extended to include new data sources or domains?,BELOW,BELOW,ok,ok,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"I am alone in the bathroom. I am standing facing the mirror with the electric toothbrush in my hand, hence, the system recognizes that I am brushing my teeth.",What are the key elements that ensure the ontology's usability for developers and researchers?,ABOVE,ABOVE,ok,ok,,,,,
Polifonia,NeoNGPT_GPT4o,"Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers, their overlap and intersections, gathering trends in time and space, and making emerge patterns of knowledge transmission.Ortenz is supervising a PhD student. They want to explore a database of prosopographic information of personalities relevant to the musical cultural heritage, focusing primarily on musicians' career but also involving relevant people in sectors such as art, politics, and industry. They are interested in the events and facts nad how they are linked to the sources (biographies, letters, memoirs, encyclopedia). She wants the system to allow her to make annotations on the content, rate the quality of the sources and the accuracy of the statements, and curate collections of facts/statements/events as material for scholarship. 
    Wikipedia
    DBpedia
    Wikidata","How do musical events correlate with historical events in art, politics, or industry?",BELOW,BELOW,ok,ok,,,,,
