dataset,group,scenario_short,cq,superfluous_elements,eval_terms,framing_bias_existing,deviation,framing_bias,notes
Polifonia,OntoChat,Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers,How are the events and facts linked to the sources in the database?,0,0,No,,,
CVN,NeoNGPT_GPT4o,For each piece of work an actor does for a certain part of a circular value network there are specific competencies tied to being able to do that work,How can competencies be mapped to specific roles within the network?,1: roles,0,,,,
Polifonia,NeoNGPT_GPT4o,Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers,How can prosopographic information about a musician be linked to their events and interactions?,0,0,,,,
CVN,NeoNGPT_GPT4o,"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A product can be resold, refurbi","1. What are the attributes of a specific product, including type, quantity, and location?",0,0,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",How can the ontology support strategic planning for future water needs?,1: ontology,0,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",How can the ontology facilitate effective communication with stakeholders?,1: ontology,1: effective,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.","Which cinemas are screening the film ""X-men""?",1: cinemas,0,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,6. How can smart home devices access the latest weather data for Berlin?,1: smart home devices,0,,,,
Polifonia,NeoNGPT_GPT4o,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting from a collection of Dutch folk",How can the ontology support the exploration of musical evolution and transmission over time?,1: ontology,0,,,,
IntelligentBathrooms,NeoNGPT_Qwen3,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,What weather parameters are modeled in the ontology for Berlin during the morning?,"2: parameters, modeled in the ontology",0,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",What standardized terminology is used for reporting and communication purposes?,1: standardized terminology,0,,,,
CVN,OntoChat,"Recycling of a product may depend on its material composition, efficiency of recycling.",How does the efficiency of recycling affect the sustainability of recycling a product?,0,"1: efficiency, sustainability",,,,
Polifonia,NeoNGPT_GPT4o,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music depar",What are the interoperability features of the ontology with existing musicological databases and ontologies?,"5: interoperability, features, ontology, existing, ontologies",0,No,,,
CVN,OntoChat,The value proposition that a circular value network holds is the value the network can generate and which motivates its existence. It could be in the ,How is the value generated by a circular value network defined?,0,0,,,,
IntelligentBathrooms,NeoNGPT_Qwen3,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,How can the ontology be queried to determine the current UV index in Berlin during the morning?,"2: ontology, UV index",0,,,,
