dataset,group,scenario_short,cq,superfluous_elements,eval_terms,framing_bias_existing,deviation,framing_bias,notes
IntelligentBathrooms,NeoNGPT_GPT4o,"I like going to the movies when it is raining, and I especially like to see action movies.",What are the showtimes for action movies today?,1: showtimes,0,,,,
CVN,NeoNGPT_GPT4o,"Each circular value network has certain inputs that drive the work of that network. Inputs could be in the form of products, components, and materials",What insights can be gained from analyzing the relationships between networks?,1: insights,0,,,,
IntelligentBathrooms,Gold,"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get","What are the options available for this event category/specific event (i.e. what can be customized by the user, e.g. seat selection and time of show for a movie)?",1: event category/specific event,0,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",How can I retrieve information about a specific water body and its classification?,0,0,,,,
IntelligentBathrooms,OntoChat,"Today my calendar contains a meeting at noon, but then I have the afternoon and evening off.",How much free time does the user have in the afternoon?,0,0,,,,
Polifonia,NeoNGPT_GPT4o,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting from a collection of Dutch folk",How can one identify the origin of a specific Dutch folk tune within the integrated database?,1: integrated database,0,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",What are the scalability features of the ontology to accommodate additional classifications?,1: scalability features,1: scalability,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user.,What are the personal hygiene activities included in the ontology?,1: ontology,0,,,,
CVN,NeoNGPT_GPT4o,"A product is made up of components, which in turn are made up of materials that have a certain properties, and provenance.",19. What are the relationships between different components within a product?,0,0,,,,
CVN,NeoNGPT_GPT4o,A circular value network has some process which outlines work done by different actors in this network,10. How can the ontology facilitate interoperability between different systems used by network participants?,"2: ontology, interoperability",0,,,,
CVN,OntoChat,A circular value network consists of one or many actors that are working together towards a common goal. A circular value network holds a value propos,What are the inputs used by actors in a circular value network?,0,0,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",How does the ontology support decision-making processes in water resource management?,1: ontology,0,,,,
Polifonia,NeoNGPT_GPT4o,Sophia is a musicologist and a practising musician. Sophia is interested in understanding the social-historical reasons behind how the music was creat,What are the scalability considerations for handling large volumes of digitized historical data?,1: scalability,0,,,,
Polifonia,Gold,Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers,"Was there a power relation? (e.g., Patreon / Musician)","2: power relation, patreon",0,Yes,,,
Polifonia,NeoNGPT_Qwen3,"Anna wants to experience live music with the aid of haptic technology. Anna, who became hearing impaired in later life, attends a concert by The Block","What are the activities (e.g., drum kit training) and equipment (e.g., bracelets) used in a specific workshop (e.g., ""summer workshop for drummers"")?",1: drum kit training,0,,,,
