dataset,group,scenario_short,cq,superfluous_elements,eval_terms,framing_bias_existing,deviation,framing_bias,notes
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",How is the ontology maintained and updated with new information or classification changes?,1: ontology,0,,,,
Polifonia,OntoChat,"Successfully plan the restoration of an organ.. In this scenario Paul has to plan a similar restoration. However, from his already extensive knowledge",What sources can be consulted to gather information about the organ for restoration planning?,0,0,No,,,
Polifonia,NeoNGPT_GPT4o,Patrizia is a Demo-Ethno-anthropologist Officer of the Ministry of Culture and she is responsible for the safeguarding of the Intangible Heritage purs,How can the ontology support decision-making in cultural heritage preservation?,1: decision-making,0,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",What mechanisms are in place to ensure efficient querying and data retrieval?,1: mechanisms,1: efficient,,,,
CVN,Gold,"Each circular value network has certain inputs that drive the work of that network. Inputs could be in the form of products, components, and materials",What is the input?,0,0,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it",How does the ontology ensure compatibility with existing smart home standards and protocols?,1: ontology,0,,,,
Polifonia,NeoNGPT_GPT4o,Patrizia is a Demo-Ethno-anthropologist Officer of the Ministry of Culture and she is responsible for the safeguarding of the Intangible Heritage purs,How does the ontology support efficient querying and reasoning over large datasets?,"3: ontology, efficient querying, reasoning over large datasets",1: efficient,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of wa",What are the different types of water bodies classified in the ontology?,0,0,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,11. What protocols are used to ensure interoperability with smart home devices?,"2: protocols, interoperability",0,,,,
CVN,NeoNGPT_Qwen3,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.","What are the key processes involved in the recycling of a material (e.g., ""concrete"")?",1: recycling,0,,,,
CVN,NeoNGPT_GPT4o,"A manufacturer of a product needs to understand the composition and origin of the materials, as well as their production processes, to mitigate risks ",What are the regulatory requirements applicable to a specific material or process?,1: regulatory requirements,0,,,,
IntelligentBathrooms,NeoNGPT_Qwen3,"I like going to the movies when it is raining, and I especially like to see action movies.",What are the movies that are not linked to any user preference?,"3: not linked, user preference, any",0,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"Based on the fact that I have the evening off, that it is going to rain, and that I like to go to the movies on my free-time, the system finds a film ",Who is the director of a specific movie?,1: director,0,,,,
Polifonia,Gold,Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers,Who paid to support the event?,"2: paid, support",0,Yes,,,
CVN,NeoNGPT_GPT4o,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",How can resource efficiency be improved in a construction project?,1: resource efficiency,1: improved,,,,
