dataset,group,scenario,cq,se_A_flag,se_B_flag,et_A_flag,et_B_flag,source_deviation,framing_bias,notes
IntelligentBathrooms,NeoNGPT_GPT4o,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.","Who is the target audience for the film ""X-men""?",ok,ok,BELOW,BELOW,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",What provisions are made for the scalability of the smart bathroom system?,ok,ok,BELOW,BELOW,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",What sensors are available for detecting user presence and location within the bathroom?,ok,ok,BELOW,BELOW,,,
CVN,NeoNGPT_GPT4o,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain material flow.",How does the ontology facilitate communication between different stakeholders in the construction industry?,ABOVE,ok,ok,ok,,,
Polifonia,NeoNGPT_GPT4o,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how did a particular musical environment relate to the wider musical environment. He has a particular interest in understanding the environment around music which would not be classified as 'elite' music. He is also interested in people's experience of listening to music. David will work for several years collecting information, e.g. about brass bands, and populating a database with this information, as a preparation for writing a book. David's work could be helped by:

sonic visualization, e.g. to recognise 'thumbprints' to identify the composer of a piece of music;

search of document database using RDF annotations and query-time reasoning;

NLP, e.g. to suggest relevant keywords for annotation; including using some semantics, e.g. proposing an annotation which does not occur in the text.",What are the relationships between musicians and their audiences in non-elite music settings?,ok,ok,ABOVE,ABOVE,,,
Polifonia,NeoNGPT_GPT4o,"Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers, their overlap and intersections, gathering trends in time and space, and making emerge patterns of knowledge transmission.Ortenz is supervising a PhD student. They want to explore a database of prosopographic information of personalities relevant to the musical cultural heritage, focusing primarily on musicians' career but also involving relevant people in sectors such as art, politics, and industry. They are interested in the events and facts nad how they are linked to the sources (biographies, letters, memoirs, encyclopedia). She wants the system to allow her to make annotations on the content, rate the quality of the sources and the accuracy of the statements, and curate collections of facts/statements/events as material for scholarship. 
    Wikipedia
    DBpedia
    Wikidata",What are the patterns of knowledge transmission among musicians and composers over a specific period?,BELOW,BELOW,ok,ok,,,
IntelligentBathrooms,NeoNGPT_Qwen3,"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get to select the time of the show, the seat I want at the movie theatre. Finally, I pay by credit card.","**Note:** The actual list of 100 CQs would be generated by systematically addressing all classes, properties, constraints, processes, and relationships in the ontology, ensuring coverage of the core elements (e.g., Event, Ticket, Seat, Payment, User, Theatre, TimeSlot) and their attributes, relationships, and constraints. For brevity, the placeholder ""CQ1",BELOW,BELOW,ok,ok,,,
Polifonia,NeoNGPT_Qwen3,"Successfully plan the restoration of an organ.. In this scenario Paul has to plan a similar restoration. However, from his already extensive knowledge about organs, he is uncertain about some of the information that was provided by the encyclopaedia. That is, some of the mentioned components and technicalities such as the pitch seemed illogical when compared to the other organs from the same organ builder. If it would somehow be possible to mark facts that are unreliable or untrue, that would save Paul a lot of time checking, verifying, and notating.
    Het Historische Orgel in Nederland – Dutch organ encyclopedia
    http://www.orgbase.nl – Dutch hobbyist-made website with information similar to Het Historische Orgel
    Church and city archives
    Old newspapers
    https://www.delpher.nl – digital database from the Dutch Royal Library
    Organs (sight visits)
    http://www.dtbob.org/ – Belgian digital organ database","**Note**: The above list is a placeholder to indicate the format. Below is the actual list of competency questions based on the ontology requirements:  

CQ1",BELOW,ok,ABOVE,ABOVE,,,
CVN,NeoNGPT_GPT4o,"A product is made up of components, which in turn are made up of materials that have a certain properties, and provenance.",3. What are the physical properties of a particular material?,BELOW,BELOW,ok,ok,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when I walk around the bathroom it is read out through the loudspeakers.",How does the ontology ensure compatibility with existing smart home standards and protocols?,ok,ok,BELOW,BELOW,,,
