dataset,group,scenario,cq,source_deviation,framing_bias,notes,gold_source_deviation,gold_framing_bias
CVN,NeoNGPT_GPT4o,"Resources are what is worked on in the circular value network. Resources are used as inputs but could also be outputs from the network, and its processes, steps etc. For resources that are part of a circular value network they will be of a certain type (is it a product, component or material). Also, for these resources, their composition is ideally known at some level. Resources can also be used in processing steps, but without being the main focus of the value network, e.g. consumables, catalysts.","2. How are resources classified into products, components, and materials?",,,,,
IntelligentBathrooms,OntoChat,"The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a set of ticket options, and get to select the time of the show, the seat I want at the movie theatre. Finally, I pay by credit card.",Are tickets available for the proposed event?,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,"2. What are the current weather conditions in Berlin (e.g., sunny, rainy, cloudy)?",,,,,
Polifonia,NeoNGPT_GPT4o,"Ortenz would like to have a system for visualising events (meetings of composers and musicians) in time and space in order to track musicians' careers, their overlap and intersections, gathering trends in time and space, and making emerge patterns of knowledge transmission.Ortenz is supervising a PhD student. They want to explore a database of prosopographic information of personalities relevant to the musical cultural heritage, focusing primarily on musicians' career but also involving relevant people in sectors such as art, politics, and industry. They are interested in the events and facts nad how they are linked to the sources (biographies, letters, memoirs, encyclopedia). She wants the system to allow her to make annotations on the content, rate the quality of the sources and the accuracy of the statements, and curate collections of facts/statements/events as material for scholarship. 
    Wikipedia
    DBpedia
    Wikidata",What events involved a specific composer or musician?,,,,,
CVN,NeoNGPT_GPT4o,"Resources are what is worked on in the circular value network. Resources are used as inputs but could also be outputs from the network, and its processes, steps etc. For resources that are part of a circular value network they will be of a certain type (is it a product, component or material). Also, for these resources, their composition is ideally known at some level. Resources can also be used in processing steps, but without being the main focus of the value network, e.g. consumables, catalysts.",9. What are the relationships between different resources and processes?,,,,,
Polifonia,NeoNGPT_Qwen3,"Anna wants to experience live music with the aid of haptic technology. Anna, who became hearing impaired in later life, attends a concert by The Blockheads at the Stables music venue with a friend Ben who is deaf from birth, and her hearing friend Caroline. In order to enhance their experience of the concert, they decide to use the haptic bracelets offered by the venue. Anna is a big fan of the bass player Norman Watt Roy, whereas her friend is interested in the drums played by John Roberts. For tonight’s performance, the Stables are offering a live automatic haptic transcription of the bass part. The Stables have also hired a musical interpreter for the hearing impaired who will be communicating the overall performance using an electronic drum kit from which a haptic feed is available. As a third option, a chest-worn transducer is available that takes the audio feed and turns the wearer’s chest cavity into a bass woofer. Anna used the bass transcription. Ben opted for the live interpretation. During ‘Hit me with your rhythm stick’ Anna grabs the hand of her hearing friend Caroline in excitement and puts it on her wrist to feel the bass rhythm. Anna and Ben sign to each other during the first two songs, and decide to swap feeds for the third.

When they hand the equipment back in at the end of the gig, the Stables staff point out that there is a summer workshop being run for hearing impared beginner drummers using a full drum kit and bracelets on all four limbs.","What are the relationships between users (e.g., Ben) and their preferred haptic devices (e.g., drum transcription bracelet)?",,,,,
Polifonia,OntoChat,"Sophia is a musicologist and a practising musician. Sophia is interested in understanding the social-historical reasons behind how the music was created and how it sounds. Sophia is doing social-historical research, using textual sources. One of her current projects is concerned with the relationship between music, medicine and religion at a particular charitable institution in 17th century Italy. The sources she uses, which are also not digitized, include records of an institution, payslips etc.The resources which Sophia uses are often not digitized. Therefore she needs to visit libraries. Whilst there, she will sift through the appropriate material, and take photographs of the most relevant. She will then analyze these photographs on her return home. In one particular library she may not be able to take photographs, and there she can only take notes. Sophia uses spreadsheets to maintain and compare information.

Sophia's work could be helped by:

    digitalisation of her source material;
    handwriting OCR;
    data visualization, e.g. to illustrate relationships between composers, institutions etc.;
    use of a database, i.e. as upgrade to current use of spreadsheets;
    named-entity recognition",What resources does Sophia use for her social-historical research on music in 17th century Italy?,,,,N,N
Polifonia,OntoChat,"Sophia’s original qualifications, and her Ph.D., were in music and she is also a practising musician. She is a musicologist working in the music department of a university. She has a particular interest in late 16th to 18th century music, specifically that of a particular composer living and working in Rome, Wien (Haydn, Mozart, Beethoven) London and Paris. As musician and historian, Sophia needs to study the instrumentation of a musical composition of the 18th century in order to organize a music festival that compares philological and modern performances and that proposes music compositions of that time with a completely new orchestration. To do this, she needs detailed informations about musical instruments, ancient and modern: how they were used in the original compositions and in the 18th century, to which instrument family each instrument belongs, in which instruments combination they have been used in musical compositions from any era. For each instrument Sophia will have to take into account these important properties: the timbre or range of timbres; the range of pitches; the dynamic range. Sophia is also interested to know the instrument's notation.",What is the notation of the instruments Sophia is interested in?,,,,N,N
WHOW,OntoChat,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",What is the comprehensive list of all types of water bodies for planning and reporting purposes?,,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability and conservation efforts of water basins in her region. Her responsibilities include not only maintaining current water quality and usage standards but also planning for future water needs and conservation efforts. Sage needs detailed information on various water basins, including which water bodies belong to a specific basin, the sub-water basins contained within them, the classification of different types of water bodies, especially coastal ones, and a comprehensive list of all water body types for planning and reporting purposes.

Moreover, having a list of all types of water bodies available at her disposal enables Sage to communicate effectively with local stakeholders, government entities, and international conservation bodies, providing reports, data analysis, and strategic planning documents that are based on comprehensive and accurate water body classifications.",How user-friendly is the ontology for users with varying levels of expertise?,,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"There are many different weather services available online, I prefer www.yr.no. My preferred configuration of the service is the weather service for Berlin with the current 3-day prognosis.","How can I retrieve the weather forecast for a specific parameter (e.g., temperature, wind speed) for Berlin on a given day?",,,,,
